"Action","Acción"
"Add Item","Añadir elemento"
"Are you sure?","¿Está seguro?"
"Attachment","Adjunto"
"Attribute Set Name","Nombre del conjunto de atributos"
"Change status","Change status"
"Content","Contenido"
"Content-Disposition","Tipo de contenido"
"Delete","Eliminar"
"Delete File","Eliminar archivo"
"Delete Item","Eliminar elemento"
"Details","Detalles de FileUploader"
"Edit","Editar"
"Edit Item '%s'","Editar elemento '%s'"
"File Information","Información del archivo"
"File Manager","Administrador de archivos"
"File was successfully deleted","El archivo fue eliminado correctamente"
"General Setting","Configuración general"
"Inline","En línea"
"Item Fileuploader","Item Fileuploader"
"Item Information","Información del elemento"
"Item Manager","Administrador de elementos"
"Item does not exist","Elemento no existe"
"Item was successfully saved","El elemento fue guardado correctamente"
"Manage Attachments","Gestionar archivos adjuntos"
"Name","Name"
"Name in %s","Name in %s"
"Please select item(s)","Please select item(s)"
"Product Attachment","Adjunto del producto"
"Product Attachments","Adjuntos del producto"
"Product Description","Descripción del artículo"
"Product Information","Información del artículo"
"Products","Productos"
"Qty","Cantidad"
"Save And Continue Edit","Guardar y seguir editando"
"Save Item","Guardar elemento"
"Sorry, there was an error getting requested content.","Sorry, there was an error getting requested content."
"Status","Estado"
"Title","Título"
"Total of %d record(s) were successfully updated","Un total de %d registros se han sido actualizados correctamente"
"Type","Tipo"
"Unable to find item to save","No se encuentra el elemento para guardar"
"Visibility","Visibilidad"
